Data:Z,A,E0,ThetaDeg,nu,cross,error,dataSet
26,56,0.2004,90,0.11666,10046.348,200.92706,Altemus:1973
26,56,0.2004,90,0.12166,8286.148,165.72306,Altemus:1973
26,56,0.2004,90,0.12666,6929.936,138.59882,Altemus:1973
26,56,0.2004,90,0.13166,5891.132,117.82274,Altemus:1973
26,56,0.2497,90,0.00704,0,0.0001,Altemus:1973
26,56,0.2497,90,0.01204,0,0.0001,Altemus:1973
26,56,0.2497,90,0.01704,0,0.0001,Altemus:1973
26,56,0.2497,90,0.02204,435.76,8.7153,Altemus:1973
26,56,0.2497,90,0.02704,7249.788,144.99586,Altemus:1973
26,56,0.2497,90,0.03204,13761.956,275.23922,Altemus:1973
26,56,0.2497,90,0.03704,18100.68,362.0137,Altemus:1973
26,56,0.2497,90,0.04204,22139.364,442.78738,Altemus:1973
26,56,0.2497,90,0.04704,25757.108,515.14226,Altemus:1973
26,56,0.2497,90,0.05204,28855.216,577.10442,Altemus:1973
26,56,0.2497,90,0.05704,31339.984,626.79978,Altemus:1973
26,56,0.2497,90,0.06204,33142.72,662.8545,Altemus:1973
26,56,0.2497,90,0.06704,34198.112,683.96234,Altemus:1973
26,56,0.2497,90,0.07204,34464.248,689.28506,Altemus:1973
26,56,0.2497,90,0.07704,33969,679.3801,Altemus:1973
26,56,0.2497,90,0.08204,32772.792,655.45594,Altemus:1973
26,56,0.2497,90,0.08704,30994.184,619.88378,Altemus:1973
26,56,0.2497,90,0.09204,28787.616,575.75242,Altemus:1973
26,56,0.2497,90,0.09704,26320.476,526.40962,Altemus:1973
26,56,0.2497,90,0.10204,23750.012,475.00034,Altemus:1973
26,56,0.2497,90,0.10704,21207.472,424.14954,Altemus:1973
26,56,0.2497,90,0.11204,18790.304,375.80618,Altemus:1973
26,56,0.2497,90,0.11704,16562.104,331.24218,Altemus:1973
26,56,0.2497,90,0.12204,14557.66,291.1533,Altemus:1973
26,56,0.2497,90,0.12704,12789.296,255.78602,Altemus:1973
26,56,0.2497,90,0.13204,11254.36,225.0873,Altemus:1973
26,56,0.2497,90,0.13704,9996.532,199.93074,Altemus:1973
26,56,0.2497,90,0.14204,8890.128,177.80266,Altemus:1973
26,56,0.2497,90,0.14704,7972.172,159.44354,Altemus:1973
26,56,0.2497,90,0.15204,7286.656,145.73322,Altemus:1973
26,56,0.2497,90,0.15704,6697.236,133.94482,Altemus:1973
26,56,0.2497,90,0.16204,6310.772,126.21554,Altemus:1973
26,56,0.2497,90,0.16704,5998.668,119.97346,Altemus:1973
26,56,0.2497,90,0.17204,5812.04,116.2409,Altemus:1973
26,56,0.2497,90,0.17704,5791.656,115.83322,Altemus:1973
26,56,0.2497,90,0.18204,5831.852,116.63714,Altemus:1973
26,56,0.2497,90,0.18704,6015.724,120.31458,Altemus:1973
26,56,0.2988,90,0.01174,0,0.0001,Altemus:1973
26,56,0.2988,90,0.01674,0,0.0001,Altemus:1973
26,56,0.2988,90,0.02174,0,0.0001,Altemus:1973
26,56,0.2988,90,0.02674,1841.892,36.83794,Altemus:1973
26,56,0.2988,90,0.03174,5020.912,100.41834,Altemus:1973
26,56,0.2988,90,0.03674,7339.436,146.78882,Altemus:1973
26,56,0.2988,90,0.04174,9467.12,189.3425,Altemus:1973
26,56,0.2988,90,0.04674,11617.58,232.3517,Altemus:1973
26,56,0.2988,90,0.05174,13729.196,274.58402,Altemus:1973
26,56,0.2988,90,0.05674,15751.424,315.02858,Altemus:1973
26,56,0.2988,90,0.06174,17628.26,352.5653,Altemus:1973
26,56,0.2988,90,0.06674,19320.652,386.41314,Altemus:1973
26,56,0.2988,90,0.07174,20771.348,415.42706,Altemus:1973
26,56,0.2988,90,0.07674,21947.016,438.94042,Altemus:1973
26,56,0.2988,90,0.08174,22788.948,455.77906,Altemus:1973
26,56,0.2988,90,0.08674,23279.932,465.59874,Altemus:1973
26,56,0.2988,90,0.09174,23378.056,467.56122,Altemus:1973
26,56,0.2988,90,0.09674,23105.992,462.11994,Altemus:1973
26,56,0.2988,90,0.10174,22477.832,449.55674,Altemus:1973
26,56,0.2988,90,0.10674,21516.664,430.33338,Altemus:1973
26,56,0.2988,90,0.11174,20327.736,406.55482,Altemus:1973
26,56,0.2988,90,0.11674,18969.548,379.39106,Altemus:1973
26,56,0.2988,90,0.12174,17519.892,350.39794,Altemus:1973
26,56,0.2988,90,0.12674,16010.592,320.21194,Altemus:1973
26,56,0.2988,90,0.13174,14571.18,291.4237,Altemus:1973
26,56,0.2988,90,0.13674,13214.76,264.2953,Altemus:1973
26,56,0.2988,90,0.14174,11971.7,239.4341,Altemus:1973
26,56,0.2988,90,0.14674,10859.212,217.18434,Altemus:1973
26,56,0.2988,90,0.15174,9884.108,197.68226,Altemus:1973
26,56,0.2988,90,0.15674,9045.504,180.91018,Altemus:1973
26,56,0.2988,90,0.16174,8337.732,166.75474,Altemus:1973
26,56,0.2988,90,0.16674,7752.524,155.05058,Altemus:1973
26,56,0.2988,90,0.17174,7280.936,145.61882,Altemus:1973
26,56,0.2988,90,0.17674,6914.128,138.28266,Altemus:1973
26,56,0.2988,90,0.18174,6644.508,132.89026,Altemus:1973
26,56,0.2988,90,0.18674,6465.628,129.31266,Altemus:1973
26,56,0.2988,90,0.19174,6372.184,127.44378,Altemus:1973
26,56,0.2988,90,0.19674,6394.284,127.88578,Altemus:1973
26,56,0.2988,90,0.20174,6456.112,129.12234,Altemus:1973
26,56,0.2988,90,0.20674,6593.028,131.86066,Altemus:1973
26,56,0.2988,90,0.21174,6801.912,136.03834,Altemus:1973
26,56,0.2988,90,0.21674,7079.332,141.58674,Altemus:1973
26,56,0.2988,90,0.22174,7437.04,148.7409,Altemus:1973
26,56,0.2988,90,0.22674,7837.128,156.74266,Altemus:1973
26,56,0.2988,90,0.23174,8291.452,165.82914,Altemus:1973
26,56,0.3208,90,0.01021,0,0.0001,Altemus:1973
26,56,0.3208,90,0.01521,0,0.0001,Altemus:1973
26,56,0.3208,90,0.02021,0,0.0001,Altemus:1973
26,56,0.3208,90,0.02521,0,0.0001,Altemus:1973
26,56,0.3208,90,0.03021,2169.336,43.38682,Altemus:1973
26,56,0.3208,90,0.03521,4174.3,83.4861,Altemus:1973
26,56,0.3208,90,0.04021,5616.572,112.33154,Altemus:1973
26,56,0.3208,90,0.04521,7158.736,143.17482,Altemus:1973
26,56,0.3208,90,0.05021,8765.64,175.3129,Altemus:1973
26,56,0.3208,90,0.05521,10389.08,207.7817,Altemus:1973
26,56,0.3208,90,0.06021,11991.044,239.82098,Altemus:1973
26,56,0.3208,90,0.06521,13537.004,270.74018,Altemus:1973
26,56,0.3208,90,0.07021,14982.24,299.6449,Altemus:1973
26,56,0.3208,90,0.07521,16295.448,325.90906,Altemus:1973
26,56,0.3208,90,0.08021,17446.572,348.93154,Altemus:1973
26,56,0.3208,90,0.08521,18387.668,367.75346,Altemus:1973
26,56,0.3208,90,0.09021,19100.016,382.00042,Altemus:1973
26,56,0.3208,90,0.09521,19536.504,390.73018,Altemus:1973
26,56,0.3208,90,0.10021,19699.524,393.99058,Altemus:1973
26,56,0.3208,90,0.10521,19558.188,391.16386,Altemus:1973
26,56,0.3208,90,0.11021,19151.912,383.03834,Altemus:1973
26,56,0.3208,90,0.11521,18498.064,369.96138,Altemus:1973
26,56,0.3208,90,0.12021,17610.268,352.20546,Altemus:1973
26,56,0.3208,90,0.12521,16591.536,331.83082,Altemus:1973
26,56,0.3208,90,0.13021,15478.528,309.57066,Altemus:1973
26,56,0.3208,90,0.13521,14286.844,285.73698,Altemus:1973
26,56,0.3208,90,0.14021,13135.928,262.71866,Altemus:1973
26,56,0.3208,90,0.14521,12034.724,240.69458,Altemus:1973
26,56,0.3208,90,0.15021,11013.132,220.26274,Altemus:1973
26,56,0.3208,90,0.15521,10090.704,201.81418,Altemus:1973
26,56,0.3208,90,0.16021,9221.056,184.42122,Altemus:1973
26,56,0.3208,90,0.16521,8513.96,170.2793,Altemus:1973
26,56,0.3208,90,0.17021,7917.624,158.35258,Altemus:1973
26,56,0.3208,90,0.17521,7427.004,148.54018,Altemus:1973
26,56,0.3208,90,0.18021,7035.34,140.7069,Altemus:1973
26,56,0.3208,90,0.18521,6735.456,134.70922,Altemus:1973
26,56,0.3208,90,0.19021,6520.696,130.41402,Altemus:1973
26,56,0.3208,90,0.19521,6385.288,127.70586,Altemus:1973
26,56,0.3208,90,0.20021,6324.5,126.4901,Altemus:1973
26,56,0.3208,90,0.20521,6334.432,126.68874,Altemus:1973
26,56,0.3208,90,0.21021,6412.016,128.24042,Altemus:1973
26,56,0.3208,90,0.21521,6554.444,131.08898,Altemus:1973
26,56,0.3208,90,0.22021,6759.012,135.18034,Altemus:1973
26,56,0.3208,90,0.22521,7022.756,140.45522,Altemus:1973
26,56,0.3208,90,0.23021,7342.036,146.84082,Altemus:1973
26,56,0.3208,90,0.23521,7723.716,154.47442,Altemus:1973
26,56,0.3208,90,0.24021,8138.416,162.76842,Altemus:1973
26,56,0.3208,90,0.24521,8592.584,171.85178,Altemus:1973
26,56,0.3208,90,0.25021,9078.264,181.56538,Altemus:1973
26,56,0.3208,90,0.25521,9586.148,191.72306,Altemus:1973
26,56,0.3488,90,0.00971,0,0.0001,Altemus:1973
26,56,0.3488,90,0.01471,0,0.0001,Altemus:1973
26,56,0.3488,90,0.01971,0,0.0001,Altemus:1973
26,56,0.3488,90,0.02471,0,0.0001,Altemus:1973
26,56,0.3488,90,0.02971,780.988,15.61986,Altemus:1973
26,56,0.3488,90,0.03471,2002.832,40.05674,Altemus:1973
26,56,0.3488,90,0.03971,2892.708,57.85426,Altemus:1973
26,56,0.3488,90,0.04471,3813.316,76.26642,Altemus:1973
26,56,0.3488,90,0.04971,4832.204,96.64418,Altemus:1973
26,56,0.3488,90,0.05471,5927.948,118.55906,Altemus:1973
26,56,0.3488,90,0.05971,7076.576,141.53162,Altemus:1973
26,56,0.3488,90,0.06471,8254.376,165.08762,Altemus:1973
26,56,0.3488,90,0.06971,9427.86,188.5573,Altemus:1973
26,56,0.3488,90,0.07471,10574.616,211.49242,Altemus:1973
26,56,0.3488,90,0.07971,11669.424,233.38858,Altemus:1973
26,56,0.3488,90,0.08471,12692.68,253.8537,Altemus:1973
26,56,0.3488,90,0.08971,13608.972,272.17954,Altemus:1973
26,56,0.3488,90,0.09471,14406.652,288.13314,Altemus:1973
26,56,0.3488,90,0.09971,15042.664,300.85338,Altemus:1973
26,56,0.3488,90,0.10471,15503.644,310.07298,Altemus:1973
26,56,0.3488,90,0.10971,15781.48,315.6297,Altemus:1973
26,56,0.3488,90,0.11471,15841.592,316.83194,Altemus:1973
26,56,0.3488,90,0.11971,15709.408,314.18826,Altemus:1973
26,56,0.3488,90,0.12471,15362.776,307.25562,Altemus:1973
26,56,0.3488,90,0.12971,14858.272,297.16554,Altemus:1973
26,56,0.3488,90,0.13471,14213.836,284.27682,Altemus:1973
26,56,0.3488,90,0.13971,13427.076,268.54162,Altemus:1973
26,56,0.3488,90,0.14471,12603.136,252.06282,Altemus:1973
26,56,0.3488,90,0.14971,11714.976,234.29962,Altemus:1973
26,56,0.3488,90,0.15471,10864.568,217.29146,Altemus:1973
26,56,0.3488,90,0.15971,10052.38,201.0477,Altemus:1973
26,56,0.3488,90,0.16471,9255.22,185.1045,Altemus:1973
26,56,0.3488,90,0.16971,8571.056,171.42122,Altemus:1973
26,56,0.3488,90,0.17471,7971.496,159.43002,Altemus:1973
26,56,0.3488,90,0.17971,7460.7,149.2141,Altemus:1973
26,56,0.3488,90,0.18471,6990.828,139.81666,Altemus:1973
26,56,0.3488,90,0.18971,6650.28,133.0057,Altemus:1973
26,56,0.3488,90,0.19471,6390.748,127.81506,Altemus:1973
26,56,0.3488,90,0.19971,6206.876,124.13762,Altemus:1973
26,56,0.3488,90,0.20471,6093.36,121.8673,Altemus:1973
26,56,0.3488,90,0.20971,6045.52,120.9105,Altemus:1973
26,56,0.3488,90,0.21471,6059.248,121.18506,Altemus:1973
26,56,0.3488,90,0.21971,6105.684,122.11378,Altemus:1973
26,56,0.3488,90,0.22471,6236.88,124.7377,Altemus:1973
26,56,0.3488,90,0.22971,6420.96,128.4193,Altemus:1973
26,56,0.3488,90,0.23471,6655.168,133.10346,Altemus:1973
26,56,0.3488,90,0.23971,6936.436,138.72882,Altemus:1973
26,56,0.3488,90,0.24471,7261.072,145.22154,Altemus:1973
26,56,0.3488,90,0.24971,7624.604,152.49218,Altemus:1973
26,56,0.3488,90,0.25471,8021.572,160.43154,Altemus:1973
26,56,0.3488,90,0.25971,8445.476,168.90962,Altemus:1973
26,56,0.3488,90,0.26471,8888.776,177.77562,Altemus:1973
26,56,0.3488,90,0.26971,9342.736,186.85482,Altemus:1973
26,56,0.3488,90,0.27471,9797.788,195.95586,Altemus:1973
26,56,0.3488,90,0.27971,10243.688,204.87386,Altemus:1973
26,56,0.3726,90,0.01074,0,0.0001,Altemus:1973
26,56,0.3726,90,0.01574,0,0.0001,Altemus:1973
26,56,0.3726,90,0.02074,0,0.0001,Altemus:1973
26,56,0.3726,90,0.02574,0,0.0001,Altemus:1973
26,56,0.3726,90,0.03074,423.176,8.46362,Altemus:1973
26,56,0.3726,90,0.03574,1148.16,22.9633,Altemus:1973
26,56,0.3726,90,0.04074,1715.532,34.31074,Altemus:1973
26,56,0.3726,90,0.04574,2288.468,45.76946,Altemus:1973
26,56,0.3726,90,0.05074,2946.216,58.92442,Altemus:1973
26,56,0.3726,90,0.05574,3684.512,73.69034,Altemus:1973
26,56,0.3726,90,0.06074,4493.424,89.86858,Altemus:1973
26,56,0.3726,90,0.06574,5354.284,107.08578,Altemus:1973
26,56,0.3726,90,0.07074,6250.816,125.01642,Altemus:1973
26,56,0.3726,90,0.07574,7163.936,143.27882,Altemus:1973
26,56,0.3726,90,0.08074,8074.716,161.49442,Altemus:1973
26,56,0.3726,90,0.08574,8968.492,179.36994,Altemus:1973
26,56,0.3726,90,0.09074,9819.992,196.39994,Altemus:1973
26,56,0.3726,90,0.09574,10615.02,212.3005,Altemus:1973
26,56,0.3726,90,0.10074,11341.2,226.8241,Altemus:1973
26,56,0.3726,90,0.10574,11966.708,239.33426,Altemus:1973
26,56,0.3726,90,0.11074,12479.168,249.58346,Altemus:1973
26,56,0.3726,90,0.11574,12870.208,257.40426,Altemus:1973
26,56,0.3726,90,0.12074,13105.872,262.11754,Altemus:1973
26,56,0.3726,90,0.12574,13200.304,264.00618,Altemus:1973
26,56,0.3726,90,0.13074,13121.472,262.42954,Altemus:1973
26,56,0.3726,90,0.13574,12909.208,258.18426,Altemus:1973
26,56,0.3726,90,0.14074,12535.744,250.71498,Altemus:1973
26,56,0.3726,90,0.14574,12068.264,241.36538,Altemus:1973
26,56,0.3726,90,0.15074,11480.664,229.61338,Altemus:1973
26,56,0.3726,90,0.15574,10858.536,217.17082,Altemus:1973
26,56,0.3726,90,0.16074,10171.46,203.4293,Altemus:1973
26,56,0.3726,90,0.16574,9510.02,190.2005,Altemus:1973
26,56,0.3726,90,0.17074,8834.592,176.69194,Altemus:1973
26,56,0.3726,90,0.17574,8230.3,164.6061,Altemus:1973
26,56,0.3726,90,0.18074,7683.104,153.66218,Altemus:1973
26,56,0.3726,90,0.18574,7160.712,143.21434,Altemus:1973
26,56,0.3726,90,0.19074,6745.908,134.91826,Altemus:1973
26,56,0.3726,90,0.19574,6404.944,128.09898,Altemus:1973
26,56,0.3726,90,0.20074,6137.612,122.75234,Altemus:1973
26,56,0.3726,90,0.20574,5898.256,117.96522,Altemus:1973
26,56,0.3726,90,0.21074,5764.512,115.29034,Altemus:1973
26,56,0.3726,90,0.21574,5693.116,113.86242,Altemus:1973
26,56,0.3726,90,0.22074,5679.856,113.59722,Altemus:1973
26,56,0.3726,90,0.22574,5694.52,113.8905,Altemus:1973
26,56,0.3726,90,0.23074,5789.056,115.78122,Altemus:1973
26,56,0.3726,90,0.23574,5931.796,118.63602,Altemus:1973
26,56,0.3726,90,0.24074,6120.036,122.40082,Altemus:1973
26,56,0.3726,90,0.24574,6350.864,127.01738,Altemus:1973
26,56,0.3726,90,0.25074,6621.316,132.42642,Altemus:1973
26,56,0.3726,90,0.25574,6919.588,138.39186,Altemus:1973
26,56,0.3726,90,0.26074,7260.5,145.2101,Altemus:1973
26,56,0.3726,90,0.26574,7628.088,152.56186,Altemus:1973
26,56,0.3726,90,0.27074,8016.476,160.32962,Altemus:1973
26,56,0.3726,90,0.27574,8419.008,168.38026,Altemus:1973
26,56,0.3726,90,0.28074,8827.936,176.55882,Altemus:1973
26,56,0.3726,90,0.28574,9234.992,184.69994,Altemus:1973
26,56,0.3726,90,0.29074,9631.284,192.62578,Altemus:1973
26,56,0.3726,90,0.29574,10007.712,200.15434,Altemus:1973
26,56,0.3726,90,0.30074,10355.072,207.10154,Altemus:1973
26,56,0.3726,90,0.30574,10664.576,213.29162,Altemus:1973
26,56,0.1003,140,0.00189,0,0.0001,Altemus:1973
26,56,0.1003,140,0.00689,0,0.0001,Altemus:1973
26,56,0.1003,140,0.01189,0,0.0001,Altemus:1973
26,56,0.1003,140,0.01689,0,0.0001,Altemus:1973
26,56,0.1003,140,0.02189,8240.596,164.81202,Altemus:1973
26,56,0.1003,140,0.02689,22239.828,444.79666,Altemus:1973
26,56,0.1003,140,0.03189,30109.56,602.1913,Altemus:1973
26,56,0.1003,140,0.03689,34374.652,687.49314,Altemus:1973
26,56,0.1305,140,0.00314,0,0.0001,Altemus:1973
26,56,0.1305,140,0.00814,0,0.0001,Altemus:1973
26,56,0.1305,140,0.01314,0,0.0001,Altemus:1973
26,56,0.1305,140,0.01814,0,0.0001,Altemus:1973
26,56,0.1305,140,0.02314,6318.364,126.36738,Altemus:1973
26,56,0.1305,140,0.02814,15401.672,308.03354,Altemus:1973
26,56,0.1305,140,0.03314,20930.832,418.61674,Altemus:1973
26,56,0.1305,140,0.03814,25157.704,503.15418,Altemus:1973
26,56,0.1305,140,0.04314,27632.592,552.65194,Altemus:1973
26,56,0.1305,140,0.04814,28152.852,563.05714,Altemus:1973
26,56,0.1305,140,0.05314,26857.012,537.14034,Altemus:1973
26,56,0.1305,140,0.05814,24179.48,483.5897,Altemus:1973
26,56,0.1305,140,0.06314,20694.804,413.89618,Altemus:1973
26,56,0.1305,140,0.06814,16940.3,338.8061,Altemus:1973
26,56,0.1603,140,0.00516,0,0.0001,Altemus:1973
26,56,0.1603,140,0.01016,0,0.0001,Altemus:1973
26,56,0.1603,140,0.01516,0,0.0001,Altemus:1973
26,56,0.1603,140,0.02016,0,0.0001,Altemus:1973
26,56,0.1603,140,0.02516,5364.008,107.28026,Altemus:1973
26,56,0.1603,140,0.03016,11055.928,221.11866,Altemus:1973
26,56,0.1603,140,0.03516,14679.964,293.59938,Altemus:1973
26,56,0.1603,140,0.04016,17779.008,355.58026,Altemus:1973
26,56,0.1603,140,0.04516,20173.816,403.47642,Altemus:1973
26,56,0.1603,140,0.05016,21730.384,434.60778,Altemus:1973
26,56,0.1603,140,0.05516,22373.884,447.47778,Altemus:1973
26,56,0.1603,140,0.06016,22101.04,442.0209,Altemus:1973
26,56,0.1603,140,0.06516,21002.488,420.04986,Altemus:1973
26,56,0.1603,140,0.07016,19254.612,385.09234,Altemus:1973
26,56,0.1603,140,0.07516,17086.056,341.72122,Altemus:1973
26,56,0.1603,140,0.08016,14736.072,294.72154,Altemus:1973
26,56,0.1603,140,0.08516,12388.428,247.76866,Altemus:1973
26,56,0.1603,140,0.09016,10186.176,203.72362,Altemus:1973
26,56,0.1603,140,0.09516,8222.032,164.44074,Altemus:1973
26,56,0.19,140,0.00653,0,0.0001,Altemus:1973
26,56,0.19,140,0.01153,0,0.0001,Altemus:1973
26,56,0.19,140,0.01653,0,0.0001,Altemus:1973
26,56,0.19,140,0.02153,0,0.0001,Altemus:1973
26,56,0.19,140,0.02653,3370.9,67.4181,Altemus:1973
26,56,0.19,140,0.03153,6947.252,138.94514,Altemus:1973
26,56,0.19,140,0.03653,9289.904,185.79818,Altemus:1973
26,56,0.19,140,0.04153,11492.676,229.85362,Altemus:1973
26,56,0.19,140,0.04653,13465.14,269.3029,Altemus:1973
26,56,0.19,140,0.05153,15125.968,302.51946,Altemus:1973
26,56,0.19,140,0.05653,16408.288,328.16586,Altemus:1973
26,56,0.19,140,0.06153,17250.376,345.00762,Altemus:1973
26,56,0.19,140,0.06653,17603.872,352.07754,Altemus:1973
26,56,0.19,140,0.07153,17460.612,349.21234,Altemus:1973
26,56,0.19,140,0.07653,16841.084,336.82178,Altemus:1973
26,56,0.19,140,0.08153,15813.044,316.26098,Altemus:1973
26,56,0.19,140,0.08653,14480.128,289.60266,Altemus:1973
26,56,0.19,140,0.09153,12964.068,259.28146,Altemus:1973
26,56,0.19,140,0.09653,11383.268,227.66546,Altemus:1973
26,56,0.19,140,0.10153,9836.06,196.7213,Altemus:1973
26,56,0.19,140,0.10653,8411.208,168.22426,Altemus:1973
26,56,0.19,140,0.11153,7114.588,142.29186,Altemus:1973
26,56,0.19,140,0.11653,5981.404,119.62818,Altemus:1973
26,56,0.19,140,0.12153,5040.152,100.80314,Altemus:1973
26,56,0.2203,140,0.00642,0,0.0001,Altemus:1973
26,56,0.2203,140,0.01142,0,0.0001,Altemus:1973
26,56,0.2203,140,0.01642,0,0.0001,Altemus:1973
26,56,0.2203,140,0.02142,0,0.0001,Altemus:1973
26,56,0.2203,140,0.02642,1183.988,23.67986,Altemus:1973
26,56,0.2203,140,0.03142,3255.668,65.11346,Altemus:1973
26,56,0.2203,140,0.03642,4769.18,95.3837,Altemus:1973
26,56,0.2203,140,0.04142,6184.308,123.68626,Altemus:1973
26,56,0.2203,140,0.04642,7602.816,152.05642,Altemus:1973
26,56,0.2203,140,0.05142,8975.512,179.51034,Altemus:1973
26,56,0.2203,140,0.05642,10250.448,205.00906,Altemus:1973
26,56,0.2203,140,0.06142,11385.556,227.71122,Altemus:1973
26,56,0.2203,140,0.06642,12339.704,246.79418,Altemus:1973
26,56,0.2203,140,0.07142,13068.432,261.36874,Altemus:1973
26,56,0.2203,140,0.07642,13526.604,270.53218,Altemus:1973
26,56,0.2203,140,0.08142,13697.424,273.94858,Altemus:1973
26,56,0.2203,140,0.08642,13564.824,271.29658,Altemus:1973
26,56,0.2203,140,0.09142,13128.96,262.5793,Altemus:1973
26,56,0.2203,140,0.09642,12444.432,248.88874,Altemus:1973
26,56,0.2203,140,0.10142,11560.276,231.20562,Altemus:1973
26,56,0.2203,140,0.10642,10546.38,210.9277,Altemus:1973
26,56,0.2203,140,0.11142,9474.608,189.49226,Altemus:1973
26,56,0.2203,140,0.11642,8408.972,168.17954,Altemus:1973
26,56,0.2203,140,0.12142,7399.548,147.99106,Altemus:1973
26,56,0.2203,140,0.12642,6479.928,129.59866,Altemus:1973
26,56,0.2203,140,0.13142,5668.312,113.36634,Altemus:1973
26,56,0.2203,140,0.13642,4998.604,99.97218,Altemus:1973
26,56,0.2203,140,0.14142,4412.772,88.25554,Altemus:1973
26,56,0.2203,140,0.14642,3931.408,78.62826,Altemus:1973
26,56,0.2203,140,0.15142,3576.664,71.53338,Altemus:1973
26,56,0.2203,140,0.15642,3309.748,66.19506,Altemus:1973
26,56,0.2498,140,0.00991,0,0.0001,Altemus:1973
26,56,0.2498,140,0.01491,0,0.0001,Altemus:1973
26,56,0.2498,140,0.01991,0,0.0001,Altemus:1973
26,56,0.2498,140,0.02491,0,0.0001,Altemus:1973
26,56,0.2498,140,0.02991,896.532,17.93074,Altemus:1973
26,56,0.2498,140,0.03491,1948.336,38.96682,Altemus:1973
26,56,0.2498,140,0.03991,2694.952,53.89914,Altemus:1973
26,56,0.2498,140,0.04491,3523,70.4601,Altemus:1973
26,56,0.2498,140,0.04991,4412.408,88.24826,Altemus:1973
26,56,0.2498,140,0.05491,5337.956,106.75922,Altemus:1973
26,56,0.2498,140,0.05991,6268.912,125.37834,Altemus:1973
26,56,0.2498,140,0.06491,7181.876,143.63762,Altemus:1973
26,56,0.2498,140,0.06991,8042.788,160.85586,Altemus:1973
26,56,0.2498,140,0.07491,8826.844,176.53698,Altemus:1973
26,56,0.2498,140,0.07991,9508.928,190.17866,Altemus:1973
26,56,0.2498,140,0.08491,10051.86,201.0373,Altemus:1973
26,56,0.2498,140,0.08991,10437.96,208.7593,Altemus:1973
26,56,0.2498,140,0.09491,10641.644,212.83298,Altemus:1973
26,56,0.2498,140,0.09991,10636.912,212.73834,Altemus:1973
26,56,0.2498,140,0.10491,10442.536,208.85082,Altemus:1973
26,56,0.2498,140,0.10991,10064.34,201.2869,Altemus:1973
26,56,0.2498,140,0.11491,9513.192,190.26394,Altemus:1973
26,56,0.2498,140,0.11991,8858.824,177.17658,Altemus:1973
26,56,0.2498,140,0.12491,8133.892,162.67794,Altemus:1973
26,56,0.2498,140,0.12991,7384.052,147.68114,Altemus:1973
26,56,0.2498,140,0.13491,6649.5,132.9901,Altemus:1973
26,56,0.2498,140,0.13991,5961.644,119.23298,Altemus:1973
26,56,0.2498,140,0.14491,5341.96,106.8393,Altemus:1973
