Z,A,E0,ThetaDeg,nu,cross,error,dataSet,,,,,,,,,,,,,,,
26,56,0.2004,90,0.03566,42393.624,847.87248,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.03766,44788.744,895.77488,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.03966,46783.672,935.67344,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.04166,48459.06,969.1812,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.04366,49847.096,996.94192,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.04566,50943.36,1018.8672,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.04766,51736.1,1034.722,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.04966,52227.344,1044.54688,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.05166,52439.296,1048.78592,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.05366,52397.072,1047.94144,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.05566,52133.588,1042.67176,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.05766,51666.368,1033.32736,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.05966,51005.708,1020.11416,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.06166,50156.236,1003.12472,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.06366,49117.484,982.34968,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.06566,47904.844,958.09688,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.06766,46527.312,930.54624,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.06966,45003.088,900.06176,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.07166,43354.48,867.0896,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.07366,41606.396,832.12792,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.07566,39784.524,795.69048,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.07766,37904.464,758.08928,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.07966,36007.088,720.14176,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.08166,34105.344,682.10688,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.08366,32217.64,644.3528,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.08566,30359.784,607.19568,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.08766,28544.88,570.8976,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.08966,26783.484,535.66968,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.09166,25083.812,501.67624,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.09366,23452.104,469.04208,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.09566,21892.624,437.85248,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.09766,20408.284,408.16568,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.09966,19000.488,380.00976,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.10166,17669.808,353.39616,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.10366,16415.724,328.31448,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.10566,15237.248,304.74496,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.10766,14132.768,282.65536,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.10966,13100.308,262.00616,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.11166,12137.632,242.75264,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.11366,11242.4,224.848,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.11566,10412.116,208.24232,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.11766,9644.284,192.88568,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.11966,8936.46,178.7292,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.12166,8286.148,165.72296,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.12366,7753.148,155.06296,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.12566,7213.752,144.27504,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.12766,6725.004,134.50008,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.12966,6284.824,125.69648,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.13166,5891.132,117.82264,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2004,90,0.13366,5542.056,110.84112,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.00404,0.052,0.00104,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.00604,0.208,0.00416,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.00804,0.624,0.01248,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.01004,73174.296,1463.48592,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.01204,6.032,0.12064,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.01404,626.236,12.52472,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.01604,16874.26,337.4852,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.01804,2579.408,51.58816,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.02004,7968.22,159.3644,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.02204,32053.944,641.07888,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.02404,9830.964,196.61928,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.02604,15854.696,317.09392,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.02804,10571.08,211.4216,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.03004,13492.336,269.84672,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.03204,15509.832,310.19664,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.03404,17510.584,350.21168,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.03604,19520.072,390.40144,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.03804,21443.916,428.87832,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.04004,23235.836,464.71672,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.04204,24868.48,497.3696,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.04404,26323.336,526.46672,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.04604,27595.256,551.90512,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.04804,28684.812,573.69624,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.05004,29618.888,592.37776,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.05204,30425.876,608.51752,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.05404,31133.752,622.67504,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.05604,31777.252,635.54504,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.05804,32368.336,647.36672,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.06004,32903.884,658.07768,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.06204,33387.536,667.75072,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.06404,33801.664,676.03328,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.06604,34123.804,682.47608,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.06804,34353.852,687.07704,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.07004,34475.688,689.51376,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.07204,34473.764,689.47528,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.07404,34361.704,687.23408,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.07604,34132.904,682.65808,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.07804,33790.796,675.81592,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.08004,33326.904,666.53808,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.08204,32772.896,655.45792,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.08404,32126.224,642.52448,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.08604,31396.716,627.93432,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.08804,30575.376,611.50752,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.09004,29707.236,594.14472,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.09204,28787.616,575.75232,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.09404,27827.696,556.55392,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.09604,26813.956,536.27912,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.09804,25800.32,516.0064,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.10004,24776.076,495.52152,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.10204,23750.012,475.00024,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.10404,22730.24,454.6048,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.10604,21690.708,433.81416,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.10804,20698.548,413.97096,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.11004,19730.308,394.60616,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.11204,18790.304,375.80608,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.11404,17882.02,357.6404,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.11604,17008.368,340.16736,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.11804,16126.76,322.5352,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.12004,15322.996,306.45992,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.12204,14557.66,291.1532,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.12404,13831.168,276.62336,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.12604,13143.468,262.86936,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.12804,12494.352,249.88704,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.13004,11883.092,237.66184,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.13204,11254.36,225.0872,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.13404,10713.612,214.27224,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.13604,10207.964,204.15928,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.13804,9736.272,194.72544,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.14004,9297.444,185.94888,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.14204,8890.128,177.80256,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.14404,8513.232,170.26464,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.14604,8165.56,163.3112,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.14804,7845.968,156.91936,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.15004,7553.364,151.06728,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.15204,7286.656,145.73312,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.15404,7045.012,140.90024,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.15604,6827.392,136.54784,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.15804,6633.016,132.66032,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.16004,6461.052,129.22104,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.16204,6310.772,126.21544,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.16404,6124.56,122.4912,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.16604,6017.024,120.34048,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.16804,5929.508,118.59016,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.17004,5861.336,117.22672,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.17204,5812.04,116.2408,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.17404,5781.048,115.62096,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.17604,5767.996,115.35992,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.17804,5772.364,115.44728,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.18004,5793.788,115.87576,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.18204,5831.852,116.63704,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.18404,5924.932,118.49864,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.18604,5993,119.86,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2497,90,0.18804,6076.616,121.53232,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.01174,282.412,5.64824,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.01374,106.34,2.1268,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.01574,134.472,2.68944,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.01774,10534.056,210.68112,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.01974,284.908,5.69816,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.02174,2791.776,55.83552,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.02374,2727.712,54.55424,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.02574,1723.644,34.47288,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.02774,15836.132,316.72264,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.02974,3952.884,79.05768,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.03174,5350.176,107.00352,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.03374,6505.98,130.1196,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.03574,7450.196,149.00392,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.03774,8431.176,168.62352,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.03974,9423.024,188.46048,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.04174,10402.444,208.04888,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.04374,11348.272,226.96544,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.04574,12245.636,244.91272,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.04774,13079.976,261.59952,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.04974,13855.608,277.11216,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.05174,14574.716,291.49432,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.05374,15256.072,305.12144,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.05574,15912.52,318.2504,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.05774,16551.548,331.03096,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.05974,17190.264,343.80528,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.06174,17822.064,356.44128,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.06374,18453.5,369.07,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.06574,19069.232,381.38464,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.06774,19671.028,393.42056,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.06974,20247.24,404.9448,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.07174,20782.424,415.64848,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.07374,21284.536,425.69072,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.07574,21734.336,434.68672,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.07774,22141.912,442.83824,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.07974,22498.216,449.96432,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.08174,22789.104,455.78208,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.08374,23031.996,460.63992,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.08574,23217.272,464.34544,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.08774,23328.084,466.56168,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.08974,23390.328,467.80656,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.09174,23378.056,467.56112,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.09374,23316.696,466.33392,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.09574,23196.628,463.93256,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.09774,23001.576,460.03152,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.09974,22765.6,455.312,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.10174,22477.832,449.55664,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.10374,22120.072,442.40144,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.10574,21734.908,434.69816,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.10774,21309.704,426.19408,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.10974,20823.868,416.47736,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.11174,20327.736,406.55472,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.11374,19806.02,396.1204,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.11574,19264.856,385.29712,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.11774,18672.576,373.45152,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.11974,18098.964,361.97928,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.12174,17519.892,350.39784,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.12374,16901.768,338.03536,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.12574,16317.6,326.352,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.12774,15739.724,314.79448,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.12974,15172.3,303.446,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.13174,14571.18,291.4236,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.13374,14024.66,280.4932,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.13574,13495.508,269.91016,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.13774,12986.48,259.7296,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.13974,12445.264,248.90528,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.14174,11971.7,239.434,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.14374,11520.6,230.412,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.14574,11093.212,221.86424,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.14774,10633.688,212.67376,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.14974,10247.328,204.94656,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.15174,9884.108,197.68216,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.15374,9544.08,190.8816,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.15574,9171.864,183.43728,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.15774,8872.656,177.45312,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.15974,8594.768,171.89536,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.16174,8337.732,166.75464,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.16374,8100.976,162.01952,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.16574,7829.224,156.58448,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.16774,7628.66,152.5732,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.16974,7446.088,148.92176,Altemus:1973,,,,,,,,,,,,,,,
26,56,0.2988,90,0.17174,7280.936,145.61872,Altemus:1973,,,,,,,,,,,,,,,
